"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Inner London - East","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","London","Inner London - West","60","60","42810","38920"
"In post","2021","Asian","Commercial","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Outer London - South","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Greater Manchester","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","West Midlands","30","30","36610","36780"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Inner London - East","25","25","[c]","[c]"
"In post","2021","Asian","Communications","London","Inner London - West","100","100","41380","38100"
"In post","2021","Asian","Communications","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
