"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Asian","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Welsh Government","AO","5","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Welsh Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Welsh Government","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Welsh Government","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Welsh Government","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Welsh Government","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","AO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","EO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","G7","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","HEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","AO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","EO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","G7","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","HEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Cabinet Office","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Chancellor's other departments","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","HEO","25","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Business, Energy and Industrial Strategy","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Digital, Culture, Media and Sport","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Digital, Culture, Media and Sport","EO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Digital, Culture, Media and Sport","HEO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","SEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","G7","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","HEO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","HEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for International Trade","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","HEO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Transport","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Work and Pensions","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Work and Pensions","AO","315","[c]","23400","25110"
"New entrant CS","2021","Black","Department for Work and Pensions","EO","1090","[c]","29920","31060"
"New entrant CS","2021","Black","Department for Work and Pensions","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Work and Pensions","G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Work and Pensions","HEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department for Work and Pensions","SEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department of Health and Social Care","AO","25","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department of Health and Social Care","EO","45","[c]","26190","26880"
"New entrant CS","2021","Black","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department of Health and Social Care","G7","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department of Health and Social Care","HEO","85","[c]","32430","32330"
"New entrant CS","2021","Black","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Department of Health and Social Care","SEO","40","[c]","40560","40070"
"New entrant CS","2021","Black","ESTYN","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","ESTYN","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Food Standards Agency","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Food Standards Agency","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Foreign, Commonwealth and Development Office","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","AO","45","[c]","21130","20140"
"New entrant CS","2021","Black","HM Revenue and Customs","EO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","HEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","HEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","AO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","EO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","HEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","SEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","AA","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","AO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","EO","25","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","HEO","20","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","SEO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","HEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Housing, Communities and Local Government","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","AA","35","[c]","23020","23790"
"New entrant CS","2021","Black","Ministry of Justice","AO","145","[c]","24260","22680"
"New entrant CS","2021","Black","Ministry of Justice","EO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","HEO","25","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","SEO","15","[c]","[c]","[c]"
"New entrant CS","2021","Black","Ministry of Justice","Unknown","100","[c]","24670","24020"
"New entrant CS","2021","Black","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","National Crime Agency","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","National Crime Agency","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","National Crime Agency","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","National Crime Agency","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","National Crime Agency","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Northern Ireland Office","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Northern Ireland Office","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Northern Ireland Office","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Northern Ireland Office","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office for Standards in Education","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Gas and Electricity Markets","SEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Qualifications and Examinations Regulation","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Office of Rail and Road","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Other Cabinet Office Agencies","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scotland Office","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","The National Archives","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Supreme Court","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","UK Supreme Court","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","HEO","5","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","United Kingdom Statistics Authority","SEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Black","Wales Office","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Wales Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Wales Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Wales Office","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Water Services Regulation Authority","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Welsh Government","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Welsh Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Welsh Government","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Welsh Government","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Welsh Government","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Welsh Government","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Chancellor's other departments","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
