"Status","Year","Age","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Overseas","SEO","105","105","43610","40650"
"In post","2021","30-39","Overseas","Unknown","80","80","[c]","[c]"
"In post","2021","30-39","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","AO","30","25","21390","21010"
"In post","2021","30-39","Unknown","EO","130","125","27670","27570"
"In post","2021","30-39","Unknown","G6","20","20","66620","64500"
"In post","2021","30-39","Unknown","G7","40","35","53860","54700"
"In post","2021","30-39","Unknown","HEO","100","100","32520","32000"
"In post","2021","30-39","Unknown","SCS level","10","10","79010","72560"
"In post","2021","30-39","Unknown","SEO","30","30","39020","38070"
"In post","2021","30-39","Unknown","Unknown","420","420","37240","33860"
"In post","2021","40-49","London","AA","245","230","22450","22210"
"In post","2021","40-49","London","AO","2020","1825","26250","25110"
"In post","2021","40-49","London","EO","3985","3730","30150","30270"
"In post","2021","40-49","London","G6","2715","2580","69410","68290"
"In post","2021","40-49","London","G7","4770","4550","57330","57110"
"In post","2021","40-49","London","HEO","3130","3030","36090","36080"
"In post","2021","40-49","London","SCS level","2005","1925","89160","80800"
"In post","2021","40-49","London","SEO","3095","2985","43310","42270"
"In post","2021","40-49","London","Unknown","335","320","36260","36580"
"In post","2021","40-49","Outside London","AA","2780","2555","19830","19850"
"In post","2021","40-49","Outside London","AO","22130","19665","22590","21010"
"In post","2021","40-49","Outside London","EO","24195","22460","27390","27570"
"In post","2021","40-49","Outside London","G6","2735","2665","67220","64770"
"In post","2021","40-49","Outside London","G7","8430","8110","54010","52580"
"In post","2021","40-49","Outside London","HEO","13175","12610","32990","31990"
"In post","2021","40-49","Outside London","SCS level","770","755","86480","81000"
"In post","2021","40-49","Outside London","SEO","10730","10305","41290","39850"
"In post","2021","40-49","Outside London","Unknown","3145","2900","33740","33360"
"In post","2021","40-49","Overseas","AO","15","15","22500","23000"
"In post","2021","40-49","Overseas","EO","85","80","27920","27170"
"In post","2021","40-49","Overseas","G6","180","180","66030","65210"
"In post","2021","40-49","Overseas","G7","265","265","57070","56100"
"In post","2021","40-49","Overseas","HEO","285","285","37210","34350"
"In post","2021","40-49","Overseas","SCS level","115","115","81810","74740"
"In post","2021","40-49","Overseas","SEO","140","140","48850","42840"
"In post","2021","40-49","Overseas","Unknown","85","85","[c]","[c]"
"In post","2021","40-49","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","AO","40","35","21950","21010"
"In post","2021","40-49","Unknown","EO","125","120","27890","27570"
"In post","2021","40-49","Unknown","G6","15","15","69710","67500"
"In post","2021","40-49","Unknown","G7","30","30","52770","51050"
"In post","2021","40-49","Unknown","HEO","70","70","34280","33130"
"In post","2021","40-49","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SEO","30","30","41750","39960"
"In post","2021","40-49","Unknown","Unknown","410","410","39660","34460"
"In post","2021","50-59","London","AA","540","505","22340","22210"
"In post","2021","50-59","London","AO","3060","2870","25810","25110"
"In post","2021","50-59","London","EO","5820","5505","30510","30560"
"In post","2021","50-59","London","G6","2105","2050","71820","70890"
"In post","2021","50-59","London","G7","3875","3785","58680","58460"
"In post","2021","50-59","London","HEO","3720","3640","36700","36250"
"In post","2021","50-59","London","SCS level","1415","1385","98630","90520"
"In post","2021","50-59","London","SEO","3305","3235","44140","43270"
"In post","2021","50-59","London","Unknown","380","370","36500","36580"
"In post","2021","50-59","Outside London","AA","5580","5135","19770","19850"
"In post","2021","50-59","Outside London","AO","31210","27760","22690","21050"
"In post","2021","50-59","Outside London","EO","33080","30555","27790","27570"
"In post","2021","50-59","Outside London","G6","3355","3295","68860","66590"
"In post","2021","50-59","Outside London","G7","8715","8470","55000","53360"
"In post","2021","50-59","Outside London","HEO","16425","15745","33710","33300"
"In post","2021","50-59","Outside London","SCS level","1095","1075","92540","84710"
"In post","2021","50-59","Outside London","SEO","12320","11935","42050","40580"
"In post","2021","50-59","Outside London","Unknown","3055","2880","34240","32710"
"In post","2021","50-59","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Overseas","AO","20","20","22280","22080"
"In post","2021","50-59","Overseas","EO","105","100","28390","27370"
"In post","2021","50-59","Overseas","G6","150","150","67930","65710"
"In post","2021","50-59","Overseas","G7","170","165","59500","56650"
"In post","2021","50-59","Overseas","HEO","230","225","38030","34770"
"In post","2021","50-59","Overseas","SCS level","110","110","90990","84620"
"In post","2021","50-59","Overseas","SEO","150","150","49840","43840"
"In post","2021","50-59","Overseas","Unknown","55","55","47860","47920"
"In post","2021","50-59","Unknown","AA","5","5","[c]","[c]"
"In post","2021","50-59","Unknown","AO","70","65","22900","22500"
"In post","2021","50-59","Unknown","EO","185","170","28450","27570"
"In post","2021","50-59","Unknown","G6","15","15","64450","61680"
"In post","2021","50-59","Unknown","G7","40","40","53180","50990"
"In post","2021","50-59","Unknown","HEO","95","90","36820","34300"
"In post","2021","50-59","Unknown","SCS level","10","10","100200","82240"
"In post","2021","50-59","Unknown","SEO","40","40","41260","38520"
"In post","2021","50-59","Unknown","Unknown","520","520","42180","37150"
"In post","2021","60-64","London","AA","270","245","22320","22210"
"In post","2021","60-64","London","AO","1090","965","25320","25110"
"In post","2021","60-64","London","EO","1515","1310","30570","30780"
"In post","2021","60-64","London","G6","340","300","73780","72330"
"In post","2021","60-64","London","G7","675","615","60210","59360"
"In post","2021","60-64","London","HEO","795","705","37260","37290"
"In post","2021","60-64","London","SCS level","235","220","103960","94900"
"In post","2021","60-64","London","SEO","650","590","45350","44660"
"In post","2021","60-64","London","Unknown","125","115","36740","34170"
"In post","2021","60-64","Outside London","AA","2735","2295","19570","19560"
"In post","2021","60-64","Outside London","AO","10395","8255","22130","21010"
"In post","2021","60-64","Outside London","EO","9075","7110","27750","27570"
"In post","2021","60-64","Outside London","G6","545","475","70250","69360"
"In post","2021","60-64","Outside London","G7","1480","1275","56340","54990"
"In post","2021","60-64","Outside London","HEO","3735","3065","34060","33840"
"In post","2021","60-64","Outside London","SCS level","175","160","103690","96630"
"In post","2021","60-64","Outside London","SEO","2435","2065","43060","41810"
"In post","2021","60-64","Outside London","Unknown","985","845","32150","28920"
"In post","2021","60-64","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Overseas","EO","15","15","28180","27710"
"In post","2021","60-64","Overseas","G6","25","25","69270","69590"
"In post","2021","60-64","Overseas","G7","30","30","59500","56590"
"In post","2021","60-64","Overseas","HEO","40","40","36710","34350"
"In post","2021","60-64","Overseas","SCS level","35","35","92000","83090"
"In post","2021","60-64","Overseas","SEO","35","35","48550","43840"
"In post","2021","60-64","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","60-64","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","AO","35","30","23300","24180"
"In post","2021","60-64","Unknown","EO","40","30","29230","28170"
"In post","2021","60-64","Unknown","G6","10","5","[c]","[c]"
"In post","2021","60-64","Unknown","G7","5","5","[c]","[c]"
"In post","2021","60-64","Unknown","HEO","20","20","38460","37820"
"In post","2021","60-64","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","SEO","15","15","45600","46360"
"In post","2021","60-64","Unknown","Unknown","130","130","39070","35380"
"In post","2021","65+","London","AA","200","170","21760","22100"
"In post","2021","65+","London","AO","605","490","25210","25110"
"In post","2021","65+","London","EO","575","455","30420","30780"
"In post","2021","65+","London","G6","110","90","73940","73970"
"In post","2021","65+","London","G7","200","160","60740","60430"
"In post","2021","65+","London","HEO","240","200","37510","37610"
"In post","2021","65+","London","SCS level","60","50","110330","102700"
"In post","2021","65+","London","SEO","175","150","46290","45960"
"In post","2021","65+","London","Unknown","60","50","35640","32710"
"In post","2021","65+","Outside London","AA","1185","910","19300","19560"
"In post","2021","65+","Outside London","AO","3165","2385","21830","21010"
"In post","2021","65+","Outside London","EO","2485","1810","27620","27570"
"In post","2021","65+","Outside London","G6","170","120","71060","71490"
"In post","2021","65+","Outside London","G7","375","290","58340","57180"
"In post","2021","65+","Outside London","HEO","1000","765","34430","34290"
"In post","2021","65+","Outside London","SCS level","45","35","99300","100020"
"In post","2021","65+","Outside London","SEO","595","445","43580","42520"
"In post","2021","65+","Outside London","Unknown","325","255","32860","31420"
"In post","2021","65+","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","HEO","10","10","[c]","[c]"
"In post","2021","65+","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","AA","5","5","[c]","[c]"
"In post","2021","65+","Unknown","AO","10","5","[c]","[c]"
"In post","2021","65+","Unknown","EO","10","10","29200","30250"
"In post","2021","65+","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","Unknown","20","20","37850","32700"
"In post","2021","Unknown","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","HEO","5","5","[c]","[c]"
"In post","2021","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Unknown","Outside London","EO","20","20","27220","27570"
"In post","2021","Unknown","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Outside London","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Outside London","AA","20","[c]","19050","18260"
"Leaver CS","2021","16-19","Outside London","AO","60","[c]","20930","21010"
"Leaver CS","2021","16-19","Outside London","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","AA","90","[c]","20570","21770"
"Leaver CS","2021","20-29","London","AO","455","[c]","22810","22780"
"Leaver CS","2021","20-29","London","EO","415","[c]","27300","27760"
"Leaver CS","2021","20-29","London","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","G7","70","[c]","54270","53760"
"Leaver CS","2021","20-29","London","HEO","330","[c]","32480","32850"
"Leaver CS","2021","20-29","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","SEO","100","[c]","40760","40480"
"Leaver CS","2021","20-29","London","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Outside London","AA","390","[c]","18590","18060"
"Leaver CS","2021","20-29","Outside London","AO","2160","[c]","21070","21010"
"Leaver CS","2021","20-29","Outside London","EO","685","[c]","24900","25480"
"Leaver CS","2021","20-29","Outside London","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Outside London","G7","20","[c]","51350","53000"
"Leaver CS","2021","20-29","Outside London","HEO","215","[c]","30360","30170"
"Leaver CS","2021","20-29","Outside London","SEO","85","[c]","38670","38700"
"Leaver CS","2021","20-29","Outside London","Unknown","125","[c]","26760","25590"
"Leaver CS","2021","20-29","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Overseas","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","AO","20","[c]","21280","21010"
"Leaver CS","2021","20-29","Unknown","EO","10","[c]","27050","27530"
"Leaver CS","2021","20-29","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","HEO","25","[c]","29770","28420"
"Leaver CS","2021","20-29","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","135","[c]","27620","28680"
"Leaver CS","2021","30-39","London","AA","25","[c]","[c]","[c]"
"Leaver CS","2021","30-39","London","AO","120","[c]","25050","25110"
"Leaver CS","2021","30-39","London","EO","190","[c]","29460","29710"
"Leaver CS","2021","30-39","London","G6","70","[c]","67280","65900"
"Leaver CS","2021","30-39","London","G7","255","[c]","54880","54160"
"Leaver CS","2021","30-39","London","HEO","165","[c]","34730","33840"
"Leaver CS","2021","30-39","London","SCS level","25","[c]","78330","76850"
"Leaver CS","2021","30-39","London","SEO","165","[c]","41430","40480"
"Leaver CS","2021","30-39","London","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Outside London","AA","185","[c]","18950","18800"
"Leaver CS","2021","30-39","Outside London","AO","1320","[c]","21750","21010"
"Leaver CS","2021","30-39","Outside London","EO","620","[c]","27020","27570"
"Leaver CS","2021","30-39","Outside London","G6","25","[c]","68050","67410"
"Leaver CS","2021","30-39","Outside London","G7","120","[c]","52820","51570"
"Leaver CS","2021","30-39","Outside London","HEO","275","[c]","32530","32060"
"Leaver CS","2021","30-39","Outside London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Outside London","SEO","235","[c]","39440","38900"
"Leaver CS","2021","30-39","Outside London","Unknown","100","[c]","33330","33740"
"Leaver CS","2021","30-39","Overseas","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Overseas","HEO","20","[c]","34650","35000"
"Leaver CS","2021","30-39","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Unknown","85","[c]","27040","29000"
"Leaver CS","2021","40-49","London","AA","20","[c]","[c]","[c]"
"Leaver CS","2021","40-49","London","AO","80","[c]","23650","23540"
"Leaver CS","2021","40-49","London","EO","115","[c]","29320","30330"
"Leaver CS","2021","40-49","London","G6","65","[c]","69960","68830"
"Leaver CS","2021","40-49","London","G7","140","[c]","56950","55660"
"Leaver CS","2021","40-49","London","HEO","80","[c]","34350","33760"
"Leaver CS","2021","40-49","London","SCS level","75","[c]","95990","92640"
"Leaver CS","2021","40-49","London","SEO","75","[c]","42170","40890"
"Leaver CS","2021","40-49","London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Outside London","AA","160","[c]","19110","19050"
"Leaver CS","2021","40-49","Outside London","AO","1095","[c]","21350","21010"
"Leaver CS","2021","40-49","Outside London","EO","580","[c]","27360","27570"
"Leaver CS","2021","40-49","Outside London","G6","55","[c]","73120","71970"
"Leaver CS","2021","40-49","Outside London","G7","135","[c]","54050","52480"
"Leaver CS","2021","40-49","Outside London","HEO","265","[c]","32670","32430"
"Leaver CS","2021","40-49","Outside London","SCS level","30","[c]","89120","81800"
"Leaver CS","2021","40-49","Outside London","SEO","225","[c]","41070","40580"
"Leaver CS","2021","40-49","Outside London","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","HEO","25","[c]","36760","36960"
"Leaver CS","2021","40-49","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Unknown","70","[c]","31180","23240"
"Leaver CS","2021","50-59","London","AA","30","[c]","21120","21770"
"Leaver CS","2021","50-59","London","AO","150","[c]","24080","23530"
"Leaver CS","2021","50-59","London","EO","180","[c]","29840","30330"
"Leaver CS","2021","50-59","London","G6","90","[c]","73220","71570"
"Leaver CS","2021","50-59","London","G7","160","[c]","59140","58800"
"Leaver CS","2021","50-59","London","HEO","135","[c]","35460","35430"
"Leaver CS","2021","50-59","London","SCS level","80","[c]","107320","99950"
"Leaver CS","2021","50-59","London","SEO","100","[c]","43450","43420"
"Leaver CS","2021","50-59","London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Outside London","AA","315","[c]","18910","18920"
"Leaver CS","2021","50-59","Outside London","AO","1800","[c]","21880","21010"
"Leaver CS","2021","50-59","Outside London","EO","1325","[c]","27790","27570"
"Leaver CS","2021","50-59","Outside London","G6","145","[c]","72110","71200"
"Leaver CS","2021","50-59","Outside London","G7","325","[c]","56110","55610"
"Leaver CS","2021","50-59","Outside London","HEO","695","[c]","33750","33300"
"Leaver CS","2021","50-59","Outside London","SCS level","50","[c]","98620","99400"
"Leaver CS","2021","50-59","Outside London","SEO","500","[c]","42200","41330"
"Leaver CS","2021","50-59","Outside London","Unknown","130","[c]","41160","37340"
"Leaver CS","2021","50-59","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","HEO","15","[c]","39470","39410"
"Leaver CS","2021","50-59","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","AO","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","SCS level","15","[c]","126010","122500"
"Leaver CS","2021","50-59","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Unknown","100","[c]","39190","34160"
"Leaver CS","2021","60-64","London","AA","20","[c]","[c]","[c]"
"Leaver CS","2021","60-64","London","AO","90","[c]","24260","24000"
"Leaver CS","2021","60-64","London","EO","125","[c]","29820","30280"
"Leaver CS","2021","60-64","London","G6","50","[c]","74910","72780"
"Leaver CS","2021","60-64","London","G7","100","[c]","61030","59340"
"Leaver CS","2021","60-64","London","HEO","85","[c]","36170","35890"
"Leaver CS","2021","60-64","London","SCS level","55","[c]","98060","88160"
"Leaver CS","2021","60-64","London","SEO","85","[c]","45230","45200"
"Leaver CS","2021","60-64","London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Outside London","AA","260","[c]","18690","18800"
"Leaver CS","2021","60-64","Outside London","AO","1235","[c]","21920","21010"
"Leaver CS","2021","60-64","Outside London","EO","990","[c]","27670","27570"
"Leaver CS","2021","60-64","Outside London","G6","120","[c]","72280","70750"
"Leaver CS","2021","60-64","Outside London","G7","255","[c]","56430","55770"
"Leaver CS","2021","60-64","Outside London","HEO","570","[c]","34280","33630"
"Leaver CS","2021","60-64","Outside London","SCS level","55","[c]","98880","99210"
"Leaver CS","2021","60-64","Outside London","SEO","390","[c]","42940","42170"
"Leaver CS","2021","60-64","Outside London","Unknown","100","[c]","44790","38850"
"Leaver CS","2021","60-64","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Unknown","60","[c]","42160","36580"
"Leaver CS","2021","65+","London","AA","55","[c]","20580","20280"
"Leaver CS","2021","65+","London","AO","125","[c]","24150","24500"
"Leaver CS","2021","65+","London","EO","110","[c]","29590","30110"
"Leaver CS","2021","65+","London","G6","15","[c]","72160","72160"
"Leaver CS","2021","65+","London","G7","40","[c]","57760","58370"
"Leaver CS","2021","65+","London","HEO","50","[c]","36280","36230"
"Leaver CS","2021","65+","London","SCS level","15","[c]","108810","101370"
"Leaver CS","2021","65+","London","SEO","40","[c]","43660","43440"
"Leaver CS","2021","65+","London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","Outside London","AA","395","[c]","18470","18060"
"Leaver CS","2021","65+","Outside London","AO","1185","[c]","21300","21010"
"Leaver CS","2021","65+","Outside London","EO","755","[c]","27220","27570"
"Leaver CS","2021","65+","Outside London","G6","50","[c]","71110","69420"
"Leaver CS","2021","65+","Outside London","G7","90","[c]","57650","56800"
"Leaver CS","2021","65+","Outside London","HEO","330","[c]","33950","33630"
"Leaver CS","2021","65+","Outside London","SCS level","15","[c]","96660","90540"
"Leaver CS","2021","65+","Outside London","SEO","180","[c]","44900","43800"
