"Status","Year","Age","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
