"Status","Year","Disability","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Other","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Economics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Economics","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Economics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Digital, Data and Technology","10","10","[c]","[c]"
