"Status","Year","Age","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Midlands (England)","AO","10","10","[c]","[c]"
"In post","2021","16-19","Asian","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","London","EO","15","10","[c]","[c]"
"In post","2021","16-19","Asian","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Yorkshire and The Humber","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Yorkshire and The Humber","AO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Black","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Black","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
