"Status","Year","Age","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Westminster","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","York","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Westminster","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","York","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Medway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Westminster","10","10","27390","27680"
"In post","2021","16-19","Department for Education","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Manchester","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
