"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","EO","40","40","27210","26470"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","G6","15","15","66240","64440"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","G7","50","50","53430","53420"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","HEO","55","50","34060","33350"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","SEO","70","65","42490","42420"
"In post","2021","Analysis","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","AA/AO","AO","45","45","21770","19130"
"In post","2021","Analysis","Economics","EO","EO","85","85","27180","27680"
"In post","2021","Analysis","Economics","G6/G7","G6","130","125","71510","71270"
"In post","2021","Analysis","Economics","G6/G7","G7","380","370","56020","55370"
"In post","2021","Analysis","Economics","SCS level","SCS level","60","60","90730","82810"
"In post","2021","Analysis","Economics","SEO/HEO","HEO","520","515","34010","33880"
"In post","2021","Analysis","Economics","SEO/HEO","SEO","60","55","42360","42470"
"In post","2021","Analysis","Finance","EO","EO","10","10","27260","27130"
"In post","2021","Analysis","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","G7","15","15","58660","52990"
"In post","2021","Analysis","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","HEO","15","15","35290","34040"
"In post","2021","Analysis","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","G6/G7","G6","60","60","67360","66230"
"In post","2021","Analysis","Intelligence Analysis","G6/G7","G7","140","135","53840","53360"
"In post","2021","Analysis","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SEO/HEO","HEO","40","35","32010","32790"
"In post","2021","Analysis","Intelligence Analysis","SEO/HEO","SEO","35","35","42100","42290"
"In post","2021","Analysis","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","EO","15","15","27610","26780"
"In post","2021","Analysis","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","SEO/HEO","HEO","15","10","32910","33000"
"In post","2021","Analysis","Knowledge and Information Management","SEO/HEO","SEO","10","10","40970","42520"
"In post","2021","Analysis","Operational Delivery","AA/AO","AO","30","30","20320","19520"
