"Status","Year","Function_of_post","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","25","25","41860","35070"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","350","330","34300","30220"
"In post","2021","Analysis","Charity Commission","Sefton","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","130","125","60780","56360"
"In post","2021","Analysis","Crown Prosecution Service","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Wakefield","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Camden and City of London","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Central Hampshire","335","320","40980","37940"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South Hampshire","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Wiltshire","110","110","37730","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Westminster","290","285","43330","36220"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","Bristol, City of","20","15","41410","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Coventry","10","10","41650","40130"
"In post","2021","Analysis","Department for Education (excl. agencies)","Darlington","30","30","43530","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Manchester","40","40","37840","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Nottingham","10","10","42290","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Sheffield","120","115","44020","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Westminster","175","165","46830","45540"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Westminster","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","York","45","45","35100","31310"
"In post","2021","Analysis","Department for International Trade","Berkshire","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","East Sussex CC","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Surrey","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Westminster","380","370","46950","43360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Leeds","85","85","47560","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Westminster","200","190","53940","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Swansea","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Bristol, City of","15","15","33680","31380"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Leeds","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Nottingham","10","10","32350","32830"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Cardiff and Vale of Glamorgan","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Westminster","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Westminster","65","65","57940","58370"
"In post","2021","Analysis","Forestry and Land Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Camden and City of London","165","155","69370","65470"
"In post","2021","Analysis","Government Actuary's Department","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Sefton","25","25","41550","39390"
"In post","2021","Analysis","Health and Safety Executive","Sheffield","[c]","[c]","[c]","[c]"
