"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","115","105","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","1060","985","33090","30950"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","2680","2530","30660","27960"
"In post","2021","Attorney General's Office","Attorney General's Departments","45","45","50500","50500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","9455","9275","46670","38230"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","615","580","34090","29750"
"In post","2021","Charity Commission","Charity Commission","440","415","34850","29160"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","1100","1015","30780","25460"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","840","815","60550","56360"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","305","280","26120","22640"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","785","765","37780","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","2020","1875","35720","29040"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","6745","6270","41360","38000"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","25","25","55650","58690"
"In post","2021","Debt Management Office","HM Treasury","115","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","440","420","28410","28110"
"In post","2021","Defence Equipment and Support","Ministry of Defence","10700","10335","36390","33740"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","4380","4220","40430","37410"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5325","5210","48890","49420"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1780","1745","49140","51730"
"In post","2021","Department for Education (excl. agencies)","Department for Education","5700","5495","44380","40510"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","5405","5210","42470","38080"
