"Status","Year","Function_of_post","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Male","Heterosexual / straight","10","10","[c]","[c]"
