"Status","Year","Age","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Devon","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Devon","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
