"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO","Heterosexual / straight","35","35","44840","42880"
"In post","2021","Commercial","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
