"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Unknown","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","35","30","38800","35110"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","15","10","39950","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","10","10","27160","26520"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","15","10","61910","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","35","35","43430","43580"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","SCS level","[c]","[c]","[c]","[c]"
