"Status","Year","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","15","15","24160","24170"
"In post","2021","16-19","Companies House","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","25","25","21840","21950"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","15","15","16460","15820"
"In post","2021","16-19","Defence Equipment and Support","110","110","18140","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","20","20","17460","17710"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","15","15","25860","25000"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","15","15","23760","23760"
"In post","2021","16-19","Department for International Trade","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","10","10","24720","23970"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","200","195","22680","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","5","5","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","35","25","19200","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","15","15","21020","21600"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","5","5","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","40","40","19270","18880"
"In post","2021","16-19","HM Land Registry","15","15","21500","22350"
"In post","2021","16-19","HM Prison and Probation Service","95","95","22620","22850"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","225","215","20500","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","25","25","23980","24300"
"In post","2021","16-19","Home Office (incl. agencies)","80","70","22340","21430"
"In post","2021","16-19","Insolvency Service","10","10","20680","20880"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","50","50","21850","20920"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","10","10","[c]","[c]"
"In post","2021","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","25","20","20960","19630"
"In post","2021","16-19","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","45","45","21410","21150"
"In post","2021","16-19","Scottish Prison Service","10","10","20240","20810"
"In post","2021","16-19","Social Security Scotland","10","10","21330","20610"
"In post","2021","16-19","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","15","15","16840","16780"
"In post","2021","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","20","15","20590","19130"
"In post","2021","16-19","Valuation Office Agency","15","15","22930","21100"
"In post","2021","16-19","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","10","10","24090","22230"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","115","110","26570","24250"
"In post","2021","20-29","Animal and Plant Health Agency","455","450","25390","24920"
"In post","2021","20-29","Attorney General's Office","10","10","36790","34230"
"In post","2021","20-29","Cabinet Office (excl. agencies)","3400","3395","33960","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","90","90","25350","24920"
"In post","2021","20-29","Charity Commission","50","45","27060","24440"
"In post","2021","20-29","Companies House","130","125","26600","24500"
"In post","2021","20-29","Competition and Markets Authority","150","150","38650","33610"
"In post","2021","20-29","Criminal Injuries Compensation Authority","25","25","23310","22570"
"In post","2021","20-29","Crown Commercial Service","140","140","28670","27770"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","390","380","26170","22220"
"In post","2021","20-29","Crown Prosecution Service","890","880","27470","25480"
"In post","2021","20-29","Debt Management Office","15","15","38840","38720"
"In post","2021","20-29","Defence Electronics and Components Agency","25","25","21450","19810"
"In post","2021","20-29","Defence Equipment and Support","2050","2035","26700","26590"
"In post","2021","20-29","Defence Science and Technology Laboratory","905","905","29050","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","1830","1820","40660","39080"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","675","675","41060","34840"
"In post","2021","20-29","Department for Education (excl. agencies)","1255","1245","36120","33190"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","1120","1110","34890","32560"
"In post","2021","20-29","Department for International Trade","950","945","37340","33000"
"In post","2021","20-29","Department for Transport (excl. agencies)","925","925","38180","35060"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","10295","10110","26630","27570"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","1235","1230","37260","32790"
"In post","2021","20-29","Disclosure Scotland","70","65","23040","21150"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","790","750","22730","21590"
"In post","2021","20-29","Driver and Vehicle Standards Agency","275","275","26440","26130"
"In post","2021","20-29","Education and Skills Funding Agency","300","300","32760","30090"
"In post","2021","20-29","Education Scotland","10","10","22970","22230"
"In post","2021","20-29","ESTYN","5","5","[c]","[c]"
"In post","2021","20-29","FCDO Services","135","135","27540","26590"
"In post","2021","20-29","Food Standards Agency","110","110","32770","32350"
"In post","2021","20-29","Food Standards Scotland","30","30","29330","30330"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","1345","1340","35370","34640"
"In post","2021","20-29","Forestry and Land Scotland","105","105","25870","25140"
"In post","2021","20-29","Government Actuary's Department","60","60","35910","33380"
"In post","2021","20-29","Government Internal Audit Agency","25","25","33350","30730"
"In post","2021","20-29","Government Legal Department","335","330","36510","33460"
"In post","2021","20-29","Government Property Agency","30","30","37180","35930"
"In post","2021","20-29","Health and Safety Executive","245","245","28880","26410"
"In post","2021","20-29","HM Courts and Tribunals Service","2175","2140","21940","19930"
"In post","2021","20-29","HM Land Registry","1110","1090","25370","22350"
"In post","2021","20-29","HM Prison and Probation Service","10470","10340","26120","25380"
"In post","2021","20-29","HM Revenue and Customs (excl. agencies)","9845","9635","26860","25560"
"In post","2021","20-29","HM Treasury (excl. agencies)","975","975","38620","32960"
"In post","2021","20-29","Home Office (incl. agencies)","5285","5150","28310","24890"
"In post","2021","20-29","Insolvency Service","215","215","23780","20880"
"In post","2021","20-29","Institute for Apprenticeships and Technical Education","25","25","39860","40430"
"In post","2021","20-29","Legal Aid Agency","105","105","20840","19930"
"In post","2021","20-29","Maritime and Coastguard Agency","195","195","29010","26590"
"In post","2021","20-29","Medicines and Healthcare Products Regulatory Agency","220","220","32840","32640"
"In post","2021","20-29","Met Office","290","290","30860","31580"
"In post","2021","20-29","Ministry of Defence (excl. agencies)","3750","3720","29360","26670"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","650","645","37660","33210"
"In post","2021","20-29","Ministry of Justice (excl. agencies)","945","940","33950","31000"
"In post","2021","20-29","National Crime Agency","935","935","31970","32260"
"In post","2021","20-29","National Infrastructure Commission","15","15","40370","42000"
"In post","2021","20-29","National Records of Scotland","45","45","28100","26160"
"In post","2021","20-29","National Savings and Investments","25","20","35460","36500"
"In post","2021","20-29","Northern Ireland Office","25","25","39740","37710"
"In post","2021","20-29","Office for Budget Responsibility","15","15","38630","35610"
"In post","2021","20-29","Office for Standards in Education, Children's Services and Skills","155","155","28760","25880"
"In post","2021","20-29","Office of Gas and Electricity Markets","345","345","31040","29160"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","25","25","31420","31000"
"In post","2021","20-29","Office of Rail and Road","30","30","35720","33990"
"In post","2021","20-29","Office of the Public Guardian","325","310","20590","19930"
"In post","2021","20-29","Office of the Scottish Charity Regulator","5","5","[c]","[c]"
"In post","2021","20-29","Planning Inspectorate","70","70","24150","21270"
"In post","2021","20-29","Public Health England","1230","1165","28120","26880"
"In post","2021","20-29","Queen Elizabeth II Centre","5","5","[c]","[c]"
"In post","2021","20-29","Registers of Scotland","180","175","27570","24130"
"In post","2021","20-29","Revenue Scotland","5","5","[c]","[c]"
"In post","2021","20-29","Royal Fleet Auxiliary","365","365","29000","28980"
"In post","2021","20-29","Rural Payments Agency","260","255","22660","21050"
"In post","2021","20-29","Scotland Office (incl. Office of the Advocate General for Scotland)","25","25","31110","30650"
"In post","2021","20-29","Scottish Courts and Tribunals Service","235","230","24600","22820"
"In post","2021","20-29","Scottish Fiscal Commission","5","5","[c]","[c]"
"In post","2021","20-29","Scottish Forestry","15","15","27140","25830"
"In post","2021","20-29","Scottish Government (excl. agencies)","1310","1295","30270","29190"
"In post","2021","20-29","Scottish Prison Service","650","635","25530","25650"
"In post","2021","20-29","Scottish Public Pensions Agency","25","25","24480","24110"
"In post","2021","20-29","Serious Fraud Office","80","80","32710","33100"
"In post","2021","20-29","Social Security Scotland","245","240","25770","24290"
"In post","2021","20-29","Standards and Testing Agency","15","15","36000","34860"
"In post","2021","20-29","Student Awards Agency for Scotland","65","65","23190","22230"
"In post","2021","20-29","Submarine Delivery Agency","370","370","29170","28450"
"In post","2021","20-29","Teaching Regulation Agency","15","15","28810","29360"
"In post","2021","20-29","The National Archives","75","75","26800","23960"
"In post","2021","20-29","Transport Scotland","70","70","29840","30650"
"In post","2021","20-29","UK Export Finance","70","65","35960","33000"
"In post","2021","20-29","UK Hydrographic Office","120","120","27480","26740"
"In post","2021","20-29","UK Intellectual Property Office","285","285","28890","26860"
"In post","2021","20-29","UK Space Agency","50","50","39810","40050"
"In post","2021","20-29","UK Supreme Court","15","15","33510","37230"
"In post","2021","20-29","United Kingdom Statistics Authority","1220","1190","29860","29540"
"In post","2021","20-29","Valuation Office Agency","485","470","26990","25500"
"In post","2021","20-29","Vehicle Certification Agency","40","40","29180","27250"
"In post","2021","20-29","Veterinary Medicines Directorate","15","15","33670","32560"
"In post","2021","20-29","Wales Office","10","10","32170","30020"
"In post","2021","20-29","Water Services Regulation Authority","25","25","31330","30750"
"In post","2021","20-29","Welsh Government (excl. agencies)","545","535","26960","23830"
"In post","2021","20-29","Welsh Revenue Authority","10","10","28370","28850"
"In post","2021","20-29","Wilton Park","5","5","[c]","[c]"
"In post","2021","30-39","Accountant in Bankruptcy","35","30","30170","29190"
"In post","2021","30-39","Advisory, Conciliation and Arbitration Service","230","220","30190","30950"
"In post","2021","30-39","Animal and Plant Health Agency","505","480","29310","28170"
"In post","2021","30-39","Attorney General's Office","25","25","47430","51250"
"In post","2021","30-39","Cabinet Office (excl. agencies)","2370","2325","49080","54700"
"In post","2021","30-39","Centre for Environment, Fisheries and Aquaculture Science","165","160","31720","29270"
"In post","2021","30-39","Charity Commission","105","105","34770","29160"
"In post","2021","30-39","Companies House","245","230","30780","27460"
"In post","2021","30-39","Competition and Markets Authority","300","290","59800","56630"
"In post","2021","30-39","Criminal Injuries Compensation Authority","85","80","25520","22710"
"In post","2021","30-39","Crown Commercial Service","240","230","35730","34800"
"In post","2021","30-39","Crown Office and Procurator Fiscal Service","510","485","36880","33040"
"In post","2021","30-39","Crown Prosecution Service","1160","1095","40010","39750"
"In post","2021","30-39","Crown Prosecution Service Inspectorate","5","5","[c]","[c]"
"In post","2021","30-39","Debt Management Office","30","30","52180","48440"
"In post","2021","30-39","Defence Electronics and Components Agency","30","30","27310","27460"
"In post","2021","30-39","Defence Equipment and Support","2235","2145","35660","34770"
"In post","2021","30-39","Defence Science and Technology Laboratory","1030","1000","39410","37320"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","1475","1440","52480","53600"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","605","595","52420","52070"
"In post","2021","30-39","Department for Education (excl. agencies)","1565","1500","45320","44320"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","1360","1300","43040","39110"
"In post","2021","30-39","Department for International Trade","740","735","49740","51970"
"In post","2021","30-39","Department for Transport (excl. agencies)","915","895","49270","50400"
"In post","2021","30-39","Department for Work and Pensions (excl. agencies)","14790","13560","27620","27570"
"In post","2021","30-39","Department of Health and Social Care (excl. agencies)","850","825","50190","53360"
"In post","2021","30-39","Disclosure Scotland","95","85","26650","24110"
"In post","2021","30-39","Driver and Vehicle Licensing Agency","1740","1550","25140","21590"
"In post","2021","30-39","Driver and Vehicle Standards Agency","650","630","29590","26780"
"In post","2021","30-39","Education and Skills Funding Agency","430","415","39600","36780"
"In post","2021","30-39","Education Scotland","55","50","44590","44930"
"In post","2021","30-39","ESTYN","15","10","34200","28850"
"In post","2021","30-39","FCDO Services","210","205","36650","34520"
"In post","2021","30-39","Food Standards Agency","255","250","38280","37910"
"In post","2021","30-39","Food Standards Scotland","65","65","33530","32140"
"In post","2021","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","2105","2075","47930","51500"
"In post","2021","30-39","Forestry and Land Scotland","210","205","30000","28120"
"In post","2021","30-39","Government Actuary's Department","60","60","68060","65470"
"In post","2021","30-39","Government Internal Audit Agency","60","60","45830","43800"
"In post","2021","30-39","Government Legal Department","825","780","51730","51250"
"In post","2021","30-39","Government Property Agency","40","35","44760","45440"
"In post","2021","30-39","Health and Safety Executive","365","345","38800","39390"
"In post","2021","30-39","HM Courts and Tribunals Service","2985","2690","24200","21300"
"In post","2021","30-39","HM Land Registry","900","850","29860","27130"
"In post","2021","30-39","HM Prison and Probation Service","12950","12360","29440","28200"
"In post","2021","30-39","HM Revenue and Customs (excl. agencies)","13345","12680","31130","25560"
"In post","2021","30-39","HM Treasury (excl. agencies)","625","610","56220","58050"
"In post","2021","30-39","Home Office (incl. agencies)","8585","8095","32030","26910"
"In post","2021","30-39","Insolvency Service","385","370","30950","28280"
"In post","2021","30-39","Institute for Apprenticeships and Technical Education","75","75","47570","50470"
"In post","2021","30-39","Legal Aid Agency","360","335","25040","21900"
"In post","2021","30-39","Maritime and Coastguard Agency","320","305","35130","31780"
"In post","2021","30-39","Medicines and Healthcare Products Regulatory Agency","350","340","44190","40900"
"In post","2021","30-39","Met Office","615","590","38150","39650"
"In post","2021","30-39","Ministry of Defence (excl. agencies)","6150","5920","33810","33180"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government (excl. agencies)","685","665","47980","53130"
"In post","2021","30-39","Ministry of Justice (excl. agencies)","1415","1380","41930","37430"
"In post","2021","30-39","National Crime Agency","1275","1245","38210","36740"
"In post","2021","30-39","National Infrastructure Commission","10","10","55010","52360"
"In post","2021","30-39","National Records of Scotland","95","90","35410","33620"
"In post","2021","30-39","National Savings and Investments","40","40","42860","42290"
"In post","2021","30-39","Northern Ireland Office","50","50","47050","40500"
"In post","2021","30-39","Office for Budget Responsibility","15","15","56710","57250"
"In post","2021","30-39","Office for Standards in Education, Children's Services and Skills","405","385","41570","39070"
"In post","2021","30-39","Office of Gas and Electricity Markets","410","400","45380","41910"
"In post","2021","30-39","Office of Qualifications and Examinations Regulation","90","85","43030","38760"
"In post","2021","30-39","Office of Rail and Road","90","90","50380","51310"
"In post","2021","30-39","Office of the Public Guardian","490","450","21710","19930"
"In post","2021","30-39","Office of the Scottish Charity Regulator","10","10","[c]","[c]"
"In post","2021","30-39","Planning Inspectorate","170","160","38300","34860"
"In post","2021","30-39","Public Health England","1590","1470","39570","37450"
"In post","2021","30-39","Queen Elizabeth II Centre","10","10","34300","32640"
"In post","2021","30-39","Registers of Scotland","240","235","33590","30080"
"In post","2021","30-39","Revenue Scotland","15","15","37750","33620"
"In post","2021","30-39","Royal Fleet Auxiliary","410","410","37420","34460"
"In post","2021","30-39","Rural Payments Agency","425","380","25100","24920"
"In post","2021","30-39","Scotland Office (incl. Office of the Advocate General for Scotland)","35","35","49910","52850"
"In post","2021","30-39","Scottish Courts and Tribunals Service","405","375","28120","29350"
"In post","2021","30-39","Scottish Fiscal Commission","5","5","[c]","[c]"
"In post","2021","30-39","Scottish Forestry","40","35","30720","29140"
"In post","2021","30-39","Scottish Government (excl. agencies)","1935","1860","41610","38540"
"In post","2021","30-39","Scottish Housing Regulator","5","5","[c]","[c]"
"In post","2021","30-39","Scottish Prison Service","1080","1050","29900","30930"
"In post","2021","30-39","Scottish Public Pensions Agency","75","70","29520","27150"
"In post","2021","30-39","Serious Fraud Office","150","145","45740","41280"
"In post","2021","30-39","Social Security Scotland","310","305","31320","27150"
"In post","2021","30-39","Standards and Testing Agency","45","45","43130","42420"
"In post","2021","30-39","Student Awards Agency for Scotland","50","45","31350","29190"
"In post","2021","30-39","Submarine Delivery Agency","435","420","39430","39860"
"In post","2021","30-39","Teaching Regulation Agency","20","20","29890","26000"
"In post","2021","30-39","The National Archives","115","110","34520","34260"
