"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","150","145","23370","23000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","210","200","58520","55360"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","20","15","107290","103620"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","645","615","35750","34800"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","130","38520","36040"
"In post","2021","Commercial","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","SEO/HEO","15","15","37730","38830"
"In post","2021","Commercial","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","EO","15","15","26740","26350"
"In post","2021","Commercial","Birmingham","G6/G7","10","10","62720","60680"
"In post","2021","Commercial","Birmingham","SEO/HEO","35","35","39530","40000"
"In post","2021","Commercial","Birmingham","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Blackpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Unknown","[c]","[c]","[c]","[c]"
