"Status","Year","Age","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Unknown","Declared disabled","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","White","Department for Business, Energy and Industrial Strategy","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Undeclared","Department for Business, Energy and Industrial Strategy","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","Department of Health and Social Care","65","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","Other Cabinet Office Agencies","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Black","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
