"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA/AO","115","105","21360","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","85","80","27040","27350"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6/G7","185","165","53780","54170"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO/HEO","55","55","35150","34480"
"In post","2021","Attorney General's Departments","East of England","AA/AO","115","100","22440","23520"
"In post","2021","Attorney General's Departments","East of England","EO","105","95","28640","28430"
"In post","2021","Attorney General's Departments","East of England","G6/G7","185","165","58620","59930"
"In post","2021","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","SEO/HEO","70","65","37160","38000"
"In post","2021","Attorney General's Departments","London","AA/AO","415","390","23220","23520"
"In post","2021","Attorney General's Departments","London","EO","740","705","28640","27760"
"In post","2021","Attorney General's Departments","London","G6/G7","2550","2365","60350","61360"
"In post","2021","Attorney General's Departments","London","SCS level","255","245","87160","81420"
"In post","2021","Attorney General's Departments","London","SEO/HEO","715","695","37480","38290"
"In post","2021","Attorney General's Departments","London","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","North East (England)","AA/AO","95","80","21860","21950"
"In post","2021","Attorney General's Departments","North East (England)","EO","60","55","27390","28430"
"In post","2021","Attorney General's Departments","North East (England)","G6/G7","135","125","54840","55610"
"In post","2021","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","SEO/HEO","45","45","35250","34480"
"In post","2021","Attorney General's Departments","North West (England)","AA/AO","205","190","21970","21950"
"In post","2021","Attorney General's Departments","North West (England)","EO","215","195","27610","28430"
"In post","2021","Attorney General's Departments","North West (England)","G6/G7","400","375","55690","55610"
"In post","2021","Attorney General's Departments","North West (England)","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","SEO/HEO","140","135","35170","34480"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","AA/AO","150","140","22760","23520"
"In post","2021","Attorney General's Departments","South East (England)","EO","155","145","28650","27760"
"In post","2021","Attorney General's Departments","South East (England)","G6/G7","290","270","59500","61640"
"In post","2021","Attorney General's Departments","South East (England)","SCS level","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","SEO/HEO","90","85","37520","39540"
"In post","2021","Attorney General's Departments","South West (England)","AA/AO","60","55","21750","21950"
"In post","2021","Attorney General's Departments","South West (England)","EO","60","60","26970","26340"
"In post","2021","Attorney General's Departments","South West (England)","G6/G7","155","140","55380","55610"
"In post","2021","Attorney General's Departments","South West (England)","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","SEO/HEO","50","50","35620","34480"
