"Status","Year","Age","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","16-19","Asian","East of England","5","5","[c]","[c]"
"In post","2021","16-19","Asian","London","20","20","[c]","[c]"
"In post","2021","16-19","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","10","10","[c]","[c]"
"In post","2021","16-19","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","London","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","North East (England)","[c]","[c]","[c]","[c]"
