"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","EO","15","10","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","EO","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","AA/AO","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","EO","80","75","27800","27500"
"In post","2021","Asian","Cabinet Office (excl. agencies)","G6/G7","170","170","58360","56340"
"In post","2021","Asian","Cabinet Office (excl. agencies)","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","SEO/HEO","175","170","36950","35590"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
