"Status","Year","Disability","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Angus and Dundee City","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Barking & Dagenham and Havering","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Barnet","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedford","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire","35","35","29180","29290"
"In post","2021","Declared disabled","Asian","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Birmingham","240","225","26590","26290"
"In post","2021","Declared disabled","Asian","Blackburn with Darwen","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Blackpool","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bradford","50","45","24210","21010"
"In post","2021","Declared disabled","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Brent","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bristol, City of","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bromley","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Buckinghamshire CC","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Calderdale and Kirklees","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Camden and City of London","45","45","30670","29570"
"In post","2021","Declared disabled","Asian","Cardiff and Vale of Glamorgan","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","City of Edinburgh","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Coventry","30","30","33230","30140"
"In post","2021","Declared disabled","Asian","Croydon","150","135","33810","29370"
"In post","2021","Declared disabled","Asian","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derby","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dudley","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Ealing","35","30","31470","31170"
"In post","2021","Declared disabled","Asian","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Lancashire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Enfield","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex Thames Gateway","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Glasgow City","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester North East","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester North West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester South East","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Greater Manchester South West","35","35","27810","24890"
"In post","2021","Declared disabled","Asian","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hackney and Newham","90","80","30300","31060"
"In post","2021","Declared disabled","Asian","Haringey and Islington","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Harrow and Hillingdon","130","115","30570","29970"
"In post","2021","Declared disabled","Asian","Hartlepool and Stockton-on-Tees","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Hertfordshire","40","40","32780","29290"
"In post","2021","Declared disabled","Asian","Hounslow and Richmond upon Thames","60","55","30520","29080"
"In post","2021","Declared disabled","Asian","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kensington & Chelsea and Hammersmith & Fulham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lambeth","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Leeds","80","75","30550","27570"
"In post","2021","Declared disabled","Asian","Leicester","100","85","23650","21440"
"In post","2021","Declared disabled","Asian","Leicestershire CC and Rutland","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lewisham and Southwark","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Liverpool","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Luton","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Manchester","60","55","29280","27570"
"In post","2021","Declared disabled","Asian","Medway","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merton, Kingston upon Thames and Sutton","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Mid Lancashire","65","55","24510","21010"
"In post","2021","Declared disabled","Asian","Milton Keynes","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Nottingham","50","45","32190","31810"
"In post","2021","Declared disabled","Asian","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Oxfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Peterborough","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Redbridge and Waltham Forest","50","40","28480","30180"
"In post","2021","Declared disabled","Asian","Sandwell","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Sheffield","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Solihull","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Hampshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Teesside","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southampton","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Staffordshire CC","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Telford and Wrekin","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tower Hamlets","80","75","41770","36690"
"In post","2021","Declared disabled","Asian","Tyneside","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Walsall","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wandsworth","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Warwickshire","15","10","[c]","[c]"
