"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","645","595","29880","27570"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","1030","920","25190","22030"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","20","20","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","545","500","30790","29290"
"In post","2021","Asian","East of England","East Anglia","365","315","27160","23130"
"In post","2021","Asian","East of England","Essex","215","200","34760","29290"
"In post","2021","Asian","London","Inner London - East","2520","2360","37070","31880"
"In post","2021","Asian","London","Inner London - West","6000","5800","41320","36240"
"In post","2021","Asian","London","Outer London - East and North East","705","635","29620","31060"
"In post","2021","Asian","London","Outer London - South","1710","1590","34070","29870"
"In post","2021","Asian","London","Outer London - West and North West","2630","2420","31160","29450"
"In post","2021","Asian","North East (England)","Northumberland and Tyne and Wear","285","265","28260","25440"
"In post","2021","Asian","North East (England)","Tees Valley and Durham","115","100","26720","22850"
"In post","2021","Asian","North West (England)","Cheshire","55","55","28950","27570"
"In post","2021","Asian","North West (England)","Cumbria","10","10","[c]","[c]"
"In post","2021","Asian","North West (England)","Greater Manchester","1370","1285","28870","27570"
"In post","2021","Asian","North West (England)","Lancashire","970","865","24840","21010"
"In post","2021","Asian","North West (England)","Merseyside","165","155","33690","26370"
"In post","2021","Asian","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","Overseas","150","150","46340","41410"
"In post","2021","Asian","Scotland","Eastern Scotland","190","180","32310","27570"
"In post","2021","Asian","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","North Eastern Scotland","30","25","[c]","[c]"
"In post","2021","Asian","Scotland","Southern Scotland","50","50","34070","27570"
"In post","2021","Asian","Scotland","West Central Scotland","235","215","28990","25560"
"In post","2021","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","600","555","30660","28420"
"In post","2021","Asian","South East (England)","Hampshire and Isle of Wight","305","275","30370","27390"
"In post","2021","Asian","South East (England)","Kent","160","150","29470","29290"
"In post","2021","Asian","South East (England)","Surrey, East and West Sussex","310","285","29650","27850"
"In post","2021","Asian","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Devon","50","50","35110","31860"
"In post","2021","Asian","South West (England)","Dorset and Somerset","30","30","26460","27150"
"In post","2021","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","690","655","34650","31650"
"In post","2021","Asian","Unknown","Unknown","170","150","29630","27570"
"In post","2021","Asian","Wales","East Wales","335","315","30400","25560"
"In post","2021","Asian","Wales","West Wales and The Valleys","95","85","29270","22160"
"In post","2021","Asian","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","195","175","26390","25400"
"In post","2021","Asian","West Midlands (England)","Shropshire and Staffordshire","300","285","32060","27570"
"In post","2021","Asian","West Midlands (England)","West Midlands","3575","3325","27550","25800"
"In post","2021","Asian","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","30","30","30290","27350"
"In post","2021","Asian","Yorkshire and The Humber","North Yorkshire","70","70","32440","29030"
"In post","2021","Asian","Yorkshire and The Humber","South Yorkshire","410","385","28230","25000"
"In post","2021","Asian","Yorkshire and The Humber","West Yorkshire","1800","1645","27800","26620"
"In post","2021","Black","East Midlands (England)","Derbyshire and Nottinghamshire","315","295","27280","26560"
"In post","2021","Black","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","175","160","26400","24140"
"In post","2021","Black","East Midlands (England)","Lincolnshire","20","20","[c]","[c]"
"In post","2021","Black","East of England","Bedfordshire and Hertfordshire","230","220","30990","29290"
"In post","2021","Black","East of England","East Anglia","120","115","32370","27570"
"In post","2021","Black","East of England","Essex","245","230","29610","29290"
"In post","2021","Black","London","Inner London - East","2535","2435","33470","31060"
"In post","2021","Black","London","Inner London - West","4335","4225","36970","33460"
"In post","2021","Black","London","Outer London - East and North East","645","615","30720","31060"
"In post","2021","Black","London","Outer London - South","1580","1510","33010","30470"
"In post","2021","Black","London","Outer London - West and North West","875","835","31350","31060"
"In post","2021","Black","North East (England)","Northumberland and Tyne and Wear","115","105","27260","25560"
"In post","2021","Black","North East (England)","Tees Valley and Durham","30","25","[c]","[c]"
"In post","2021","Black","North West (England)","Cheshire","35","30","32040","27570"
"In post","2021","Black","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Greater Manchester","515","490","28450","27370"
"In post","2021","Black","North West (England)","Lancashire","55","55","27760","27570"
"In post","2021","Black","North West (England)","Merseyside","115","105","28530","25410"
"In post","2021","Black","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Black","Overseas","Overseas","65","65","41950","37500"
"In post","2021","Black","Scotland","Eastern Scotland","85","85","32700","27990"
"In post","2021","Black","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","North Eastern Scotland","15","10","[c]","[c]"
"In post","2021","Black","Scotland","Southern Scotland","30","30","32750","28520"
"In post","2021","Black","Scotland","West Central Scotland","100","95","28710","27570"
"In post","2021","Black","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","280","270","30400","28670"
"In post","2021","Black","South East (England)","Hampshire and Isle of Wight","165","155","28800","27570"
"In post","2021","Black","South East (England)","Kent","185","180","31630","29290"
"In post","2021","Black","South East (England)","Surrey, East and West Sussex","215","205","30660","28590"
"In post","2021","Black","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Devon","25","20","[c]","[c]"
"In post","2021","Black","South West (England)","Dorset and Somerset","15","15","[c]","[c]"
"In post","2021","Black","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","490","475","32780","31110"
"In post","2021","Black","Unknown","Unknown","55","55","30280","29870"
"In post","2021","Black","Wales","East Wales","155","150","29350","26860"
"In post","2021","Black","Wales","West Wales and The Valleys","35","30","25730","26130"
"In post","2021","Black","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","65","60","26380","25790"
"In post","2021","Black","West Midlands (England)","Shropshire and Staffordshire","105","100","28430","27570"
"In post","2021","Black","West Midlands (England)","West Midlands","1035","965","28310","26550"
